"engine","clip","latency_ms","max_rss_kb","temp_c","transcript"
"whisper-tiny-q5_1","speech_1784633370389_5620-6480.wav","1610","133064","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633380110_13880-16180.wav","1615","133144","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633403670_38900-39740.wav","1348","133368","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633406608_41900-42740.wav","1558","132364","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633410191_45100-46220.wav","1689","133096","40.9","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633413133_47800-49260.wav","1661","133128","40.9","Merhaba."
"whisper-tiny-q5_1","speech_1784633416093_51020-52100.wav","1629","132464","40.8","Merhaba."
"whisper-tiny-q5_1","speech_1784633417869_52820-53940.wav","1697","132348","40.8","Kadir."
"whisper-tiny-q5_1","speech_1784633421329_55760-57360.wav","1536","132912","40.8","O Yemin."
"whisper-tiny-q5_1","speech_1784633424154_58960-60200.wav","1972","133416","40.8","Mıkam ben."
"whisper-tiny-q5_1","speech_1784633428750_62000-64880.wav","2163","133504","40.8","Spotify'dan bana bu şarkıya çabildir misin?"
"whisper-tiny-q5_1","speech_1784633432213_66620-68300.wav","1858","133072","40.8","Spotifiedan."
"whisper-tiny-q5_1","speech_1784633435677_69060-71800.wav","1984","133428","40.8","Sip otif yer uygulamazından."
"whisper-tiny-q5_1","speech_1784633439510_73000-75560.wav","1331","133336","40.8","Supportifi uygulamazsın da."
"whisper-tiny-q5_1","speech_1784633444636_79320-80680.wav","1969","133172","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633499797_135060-135900.wav","1706","133256","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633538831_174020-174920.wav","3872","133124","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633542035_175920-178140.wav","1461","133324","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633544328_179540-180400.wav","1340","133212","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633551895_187160-188000.wav","1308","133160","40.8","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633566230_201420-202320.wav","1538","133256","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633811830_446820-447660.wav","1408","133276","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633815793_450760-451600.wav","1312","133196","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633874796_509080-510700.wav","1299","133752","41.7","Adamına koyayım ne?"
"whisper-tiny-q5_1","speech_1784633910770_545660-546600.wav","4794","133164","41.7","[Gerilim müziği]"
"whisper-tiny-q5_1","speech_1784633912555_546940-548480.wav","2069","133024","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633926507_561580-562420.wav","1972","133380","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633932910_567900-568820.wav","1967","133236","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633964273_599240-600080.wav","1983","132844","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784633985650_620640-621480.wav","1996","133100","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634011109_646040-646960.wav","1843","133144","41.7","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634011891_646960-647720.wav","1927","133288","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634015470_650060-651360.wav","2016","133000","41.7","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634017917_652960-653800.wav","1949","133024","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634055039_689920-690920.wav","2060","133188","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634118516_753560-754400.wav","1981","133384","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634120317_755200-756200.wav","2128","132772","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634125680_760740-761580.wav","2097","133000","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634131437_766160-767260.wav","2115","133248","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634135677_770580-771520.wav","2117","132740","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634143355_778120-779200.wav","5237","133384","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634144639_779660-780500.wav","2081","133036","42.5","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634155898_790700-791760.wav","1992","133536","42.5","(sessizlik)"
"whisper-tiny-q5_1","speech_1784634162555_797500-798380.wav","2136","132848","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634231668_866240-867460.wav","2216","133052","42.5","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634234729_868960-870540.wav","2090","132888","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634235369_870540-871240.wav","2029","132476","42.6","(MÜZİK ÇALIYOR)"
"whisper-tiny-q5_1","speech_1784634236649_871460-872560.wav","2048","133060","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634238835_873440-874720.wav","2074","133212","42.6","[MÜZİK ÇALIYOR]"
"whisper-tiny-q5_1","speech_1784634241274_875660-877100.wav","2097","133044","42.6","[MÜZİK ÇALIYOR]"
